id	year	place	place_abbrv	latitude	longitude	title	author	subjects	publisher
ocm00191733 	1965	new york	nyu	40.758896	-73.985130	[the italian renaissance a concise survey of its history and culture]	[author:plumb j h]	[subject:civilization] [subject:renaissance]	[publisher:harper & row]
ocm00192636 	1906	paris	fr	48.86	2.34444	[les français italianisants au xvie siècle]	[author:picot emile]	[subject:renaissance] [subject:littérature italienne] [subject:littérature française] [subject:italian literature] [subject:authors french] [subject:french]	[publisher:h champion]
ocm00193242 	1968	new york	nyu	40.758896	-73.985130	[piero della francesca and the early renaissance]	[author:hendy philip]	[subject:painting renaissance] [subject:painting italian]	[publisher:macmillan]
ocm00205836 	1971	new york	nyu	40.758896	-73.985130	[the renaissance and mannerism in italy]	[author:smart alastair]	[subject:mannerism art] [subject:renaissance] [subject:kunst] [subject:art italian] [subject:art renaissance] [subject:manierismus]	[publisher:harcourt brace jovanovich]
ocm00209151 	1967	new york	nyu	40.758896	-73.985130	[an index to capoversi and titles cited in einstein s the italian madrigal]	[author:newman joel] [author:einstein alfred]	[subject:madrigalen] [subject:madrigals italian] [subject:titels] [subject:teksten]	[dewey:784.7]	[publisher:renaissance society of america]
ocm00224312 	1969	tutzing	gw	47.9107	11.2806	[theatergesang und darstellende musik in der italienischen renaissance 15 und 16 jahrhundert]	[author:osthoff wolfgang]	[subject:renaissance] [subject:vocal music]	[publisher:h schneider]
ocm00228802 	1971	amsterdam	ne	52.37403	4.88969	[the life and works of giorgio giulio clovio miniaturist 1495 1578 with notices of his contemporaries and the art of book decoration in the sixteenth century]	[author:bradley john w]	[subject:illumination of books and manuscripts italian] [subject:miniaturistes] [subject:miniature de la renaissance] [subject:illumination of books and manuscripts renaissance]	[publisher:g w hissink & co]
ocm00229935 	1965	urbana	ilu	40.10839	-83.75243	[italian tragedy in the renaissance]	[author:herrick marvin t]	[subject:italiaans] [subject:renaissance] [subject:italian drama] [subject:tragedies] [subject:italian drama tragedy]	[publisher:university of illinois press]
ocm00233551 	1967	london	enk	51.51334	-0.08901	[the birth and rebirth of pictorial space]	[author:white john]	[subject:painting renaissance] [subject:perspektive] [subject:painting italian] [subject:malerei] [subject:perspective]	[dewey:751.4]	[publisher:faber and faber]
ocm00234310 	1909	new york	nyu	40.758896	-73.985130	[the central italian painters of the renaissance]	[author:berenson bernard]	[subject:art renaissance] [subject:painters]	[publisher:g p putnam s sons]
ocm00243843 	1887	paris	fr	48.86	2.34444	[les maîtres italiens au service de la maison d autriche leone leoni sculpteur de charles quint et pompeo leoni sculpteur de philippe ii]	[author:plon eugène]	[subject:sculpture renaissance]	[publisher:e plon nourrit et cie]
ocm00244877 	1961	torino	it	44.8031	10.32804	[andrea palladio]	[author:pane roberto]	[subject:architecture de la renaissance italie] [subject:architecture de la renaissance]	[dewey:720.9]	[publisher:einaudi]
ocm00253443 	1964	new york	nyu	40.758896	-73.985130	[the architecture of the italian renaissance]	[author:murray peter]	[subject:architecture renaissance] [subject:architecture]	[dewey:720.9]	[publisher:schocken books]
ocm00255183 	1966	new york	nyu	40.758896	-73.985130	[studios and styles of the italian renaissance]	[author:chastel andré]	[subject:art italian] [subject:escultura] [subject:art early renaissance] [subject:arquitetura] [subject:renascimento] [subject:pintura]	[publisher:odyssey]
ocm00257601 	1971	london	enk	51.51334	-0.08901	[the renaissance and mannerism in italy]	[author:smart alastair]	[subject:art italian] [subject:art renaissance] [subject:mannerism art]	[publisher:thames and hudson]
ocm00259054 	1908	new york	nyu	40.758896	-73.985130	[courts & camps of the italian renaissance being a mirror of the life and times of the ideal gentleman court baldassare castiglione derived largely from his own letters and other contemporary sources to which is added an epitome of his famous work the book of the courtier with appreciations & annotations]	[author:castiglione baldassarre] [author:hare christopher]	[subject:courts and courtiers] [subject:renaissance]	[publisher:c scribner s sons]
ocm00262716 	1972	new york	nyu	40.758896	-73.985130	[the new century italian renaissance encyclopedia]	[author:avery catherine b]	[subject:renaissance]	[publisher:appleton century crofts]
